0U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000         
0U000290081ACACIA AV                     PSEUDO INTERSECTION           0900000000001000000000001010000000000010100000000000101000000000001044482441500900000000000000000000000000000000000U0002U001600000U0002U022000000000000000000000000000000000000000002000000000000000000000000000000000000000        
0U0002U0016ACACIA AV                     ANGUS AV W                    0300000000001000000000001010000000000010100000000000101000000000001044487541521700000000000000000000U0002U022800000U0016U013800000000000000000000U00029008100000000000000000000000002000000000000000000000000000000000000000        
0U0002U0078ACACIA AV                     CLARK AV                      0400000000001000000000001010000000000010100000000000101000000000001044581641348900000000000000000000U0002U022000000U0078U013800000U0002U010200000U0078U010600000000000000000000000002000000000000000000000000000000000000000        
0U0002U0102ACACIA AV                     CRYSTAL SPRGS AV              3400000000001000000000001010000000000010100000000000101000000000001044614841287200000000000000000000U0002U007800000U0102U013800000U0002U038600000U0102U010600000000000000000000000002000000000020200000000000000000000000000        
0U0002U0220ACACIA AV                     JENEVEIN AV                   3400000000001000000000001010000000000010100000000000101000000000001044550141408200000000000000000000U00029008100000U0138U022000000U0002U007800000U0106U022000000000000000000000000002000000000020200000000000000000000000000        
0U0002U0228ACACIA AV                     KAINS AV                      1400000000001000000000001010000000000010100000000000101000000000001044474541548700000000000000000000U0002U038200000U0138U022800000U0002U001600000U0228U026400000000000000000000000002000000000010100000000000000000000000000        
0U0002U0382ACACIA AV                     SAN BRUNO AV W                3200000000001000000000001010000000000010100000000000101000000000001044432541630400000000000000000000000000000000000U0138U038200000U0002U022800000U0224U038200000000000000000000000002000000000020200000000000000000000000000        
0U0002U0386ACACIA AV                     SAN FELIPE AV                 0400000000001000000000001010000000000010100000000000101000000000001044664741214700000000000000000000U0002U010200000U0138U038600000U0002U040800000U0106U038600000000000000000000000002000000000000000000000000000000000000000        
0U0002U0408ACACIA AV                     SANTA LUCIA AV                1200000000001000000000001010000000000010100000000000101000000000001044720541127800000000000000000000U0002U038600000U0138U040800000000000000000000U0106U040800000000000000000000000002000000000010100000000000000000000000000        
0U000490001ALAMEDA PL                    DEAD END                      0800000000001000000000001010000000000010100000000000101000000000001043560241564400000000000000000000000000000000000U0004U042800000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000        
0U0004U0428ALAMEDA PL                    SNEATH LN                     1200000000001000000000001010000000000010100000000000101000000000001043575741573000000000000000000000U0084U042800000000000000000000U0292U042900000U00049000100000000000000000000000001000000000101000000000000000000000000000        
0U0006U0032ALCOTT RD                     BENNINGTON DR                 0200000000001000000000001010000000000010100000000000101000000000001044018741119200000000000000000000U0006U036800000U0032U025600000000000000000000U0032U009400000000000000000000000002000000000000000000000000000000000000000        
0U0006U0368ALCOTT RD                     ROSEWOOD DR                   0200000000001000000000001010000000000010100000000000101000000000001044008341189100000000000000000000000000000000000U03689008100000U0006U003200000U0094U036800000000000000000000000002000000000000000000000000000000000000000        
